artist,artist_norm,n_reviews,is_various,is_suspicious_token,artist_spotify,match_type,score,spotify_artist_id
erykah badu,erykah badu,5,False,False,Erykah Badu,exact_norm,1.0,
fela kuti,fela kuti,5,False,False,Fela Kuti,exact_norm,1.0,
french kicks,french kicks,5,False,False,French Kicks,exact_norm,1.0,
gold panda,gold panda,5,False,False,Gold Panda,exact_norm,1.0,
green day,green day,5,False,False,Green Day,exact_norm,1.0,
grimes,grimes,5,False,False,Grimes,exact_norm,1.0,
ice cube,ice cube,5,False,False,Ice Cube,exact_norm,1.0,
j. cole,j. cole,5,False,False,J. Cole,jaccard_token,1.0,
kate bush,kate bush,5,False,False,Kate Bush,exact_norm,1.0,
kelis,kelis,5,False,False,Kelis,exact_norm,1.0,
mac miller,mac miller,5,False,False,Mac Miller,exact_norm,1.0,
man man,man man,5,False,False,Maná,jaccard_token,1.0,
meek mill,meek mill,5,False,False,Meek Mill,exact_norm,1.0,
metallica,metallica,5,False,False,Metallica,exact_norm,1.0,
missy elliott,missy elliott,5,False,False,Missy Elliott,exact_norm,1.0,
parquet courts,parquet courts,5,False,False,Parquet Courts,exact_norm,1.0,
peaches,peaches,5,False,False,Peaches,exact_norm,1.0,
pink floyd,pink floyd,5,False,False,Pink Floyd,exact_norm,1.0,
pusha t,pusha t,5,False,False,Pusha T,exact_norm,1.0,
red hot chili peppers,red hot chili peppers,5,False,False,Red Hot Chili Peppers,exact_norm,1.0,
shlohmo,shlohmo,5,False,False,Shlohmo,exact_norm,1.0,
the alchemist,the alchemist,5,False,False,The Alchemist,exact_norm,1.0,
the juan maclean,the juan maclean,5,False,False,The Juan Maclean,exact_norm,1.0,
the killers,the killers,5,False,False,The Killers,exact_norm,1.0,
the kinks,the kinks,5,False,False,The Kinks,exact_norm,1.0,
the rapture,the rapture,5,False,False,The Rapture,exact_norm,1.0,
the stooges,the stooges,5,False,False,The Stooges,exact_norm,1.0,
ty dolla $ign,ty dolla $ign,5,False,False,Ty Dolla $ign,exact_norm,1.0,
wavves,wavves,5,False,False,Wavves,exact_norm,1.0,
yeasayer,yeasayer,5,False,False,Yeasayer,exact_norm,1.0,
yoko ono,yoko ono,5,False,False,Yoko Ono,exact_norm,1.0,
atlas sound,atlas sound,4,False,False,Atlas Sound,exact_norm,1.0,
autre ne veut,autre ne veut,4,False,False,Autre Ne Veut,exact_norm,1.0,
azealia banks,azealia banks,4,False,False,Azealia Banks,exact_norm,1.0,
bad brains,bad brains,4,False,False,Bad Brains,exact_norm,1.0,
boosie badazz,boosie badazz,4,False,False,Boosie Badazz,exact_norm,1.0,
chance the rapper,chance the rapper,4,False,False,Chance the Rapper,exact_norm,1.0,
charli xcx,charli xcx,4,False,False,Charli XCX,exact_norm,1.0,
cloud nothings,cloud nothings,4,False,False,Cloud Nothings,exact_norm,1.0,
cornershop,cornershop,4,False,False,Cornershop,exact_norm,1.0,
crystal castles,crystal castles,4,False,False,Crystal Castles,exact_norm,1.0,
cut copy,cut copy,4,False,False,Cut Copy,exact_norm,1.0,
disclosure,disclosure,4,False,False,Disclosure,exact_norm,1.0,
dj khaled,dj khaled,4,False,False,DJ Khaled,exact_norm,1.0,
dj rashad,dj rashad,4,False,False,DJ Rashad,exact_norm,1.0,
flume,flume,4,False,False,Flume,exact_norm,1.0,
future islands,future islands,4,False,False,Future Islands,exact_norm,1.0,
ilovemakonnen,ilovemakonnen,4,False,False,ILoveMakonnen,exact_norm,1.0,
isaac hayes,isaac hayes,4,False,False,Isaac Hayes,exact_norm,1.0,
jack white,jack white,4,False,False,Jack White,exact_norm,1.0,
jeremih,jeremih,4,False,False,Jeremih,exact_norm,1.0,
jessy lanza,jessy lanza,4,False,False,Jessy Lanza,exact_norm,1.0,
john lennon,john lennon,4,False,False,John Lennon,exact_norm,1.0,
keane,keane,4,False,False,Keane,exact_norm,1.0,
kendrick lamar,kendrick lamar,4,False,False,Kendrick Lamar,exact_norm,1.0,
lil durk,lil durk,4,False,False,Lil Durk,exact_norm,1.0,
liz phair,liz phair,4,False,False,Liz Phair,exact_norm,1.0,
ludacris,ludacris,4,False,False,Ludacris,exact_norm,1.0,
mac demarco,mac demarco,4,False,False,Mac DeMarco,exact_norm,1.0,
